colors
"[""evening gown"", ""apache red"", ""cattail brown"", ""muskoka dusk"", ""mushroom cap"", ""willow green"", ""dill weed"", ""indian ocean"", ""shit"", ""french toast"", ""blossom"", ""light crimson"", ""submarine gray"", ""ocean storm"", ""equestrian gray"", ""ufo green"", ""heath gray"", ""tarpley brown"", ""crushed ice"", ""chocolate chiffon""]"
"[""butter creme"", ""maastricht blue"", ""tahiti gold"", ""downy fluff"", ""rose"", ""sea pine"", ""stratus"", ""polo blue"", ""perfume"", ""precious emerald"", ""popcorn kernel"", ""stoneware"", ""begonia"", ""cake spice"", ""easter green"", ""moon glow"", ""swiss blue"", ""middlebury brown"", ""booger buster"", ""bold yellow""]"
"[""nomadic"", ""burbuja azul"", ""craft paper"", ""mosque"", ""lakeside cabin"", ""heirloom"", ""nurture green"", ""deep maroon"", ""festival de verano"", ""adobe"", ""kelp forest green"", ""popcorn ball"", ""greenbrook"", ""fireworks"", ""major blue"", ""peach pudding"", ""las palmas"", ""myth"", ""letter gray"", ""viking yellow""]"
"[""gazebo green"", ""ash gray"", ""light mustard"", ""eastern spice"", ""roasted squash"", ""nicolson green"", ""varsity blues"", ""jamesboro gold"", ""nice cream"", ""bluefish"", ""citrus"", ""chilled wine"", ""ruddy brown"", ""desert cactus"", ""koala bear"", ""laurel woods"", ""quarried limestone"", ""water park"", ""aqua fresco"", ""pine cone""]"
"[""radish"", ""sweet bluette"", ""tucson winds"", ""harlequin blue"", ""french pink"", ""sherwood tan"", ""endeavour"", ""clay pot"", ""aqua bay"", ""gingersnap"", ""river forest"", ""sugar poppy"", ""winsome beige"", ""witch hazel"", ""palisades park"", ""laudable lime"", ""flax straw"", ""william"", ""luxe blue"", ""petunia pink""]"
"[""cheerful whisper"", ""pink innocence"", ""chelsea garden"", ""mesmerize"", ""cotton fluff"", ""parish white"", ""contessa"", ""worn leather shoes"", ""mac n cheese"", ""spring storm"", ""brocade"", ""majestic mount"", ""windham cream"", ""tomato red"", ""chopped dill"", ""volcanic gray"", ""sea breeze"", ""crab apple"", ""stonewall"", ""cognac snifter""]"
"[""wild truffle"", ""ironside grey"", ""pink starburst"", ""glass bead"", ""neon celery"", ""hit pink"", ""italianate"", ""foggy london"", ""spalding gray"", ""charcoal blue"", ""miami spice"", ""melted ice cream"", ""winterwood"", ""raspberry lemonade"", ""peppermint"", ""intercoastal green"", ""warm marshmallow"", ""newborn baby"", ""nouvelle white"", ""tint of mint""]"
"[""muffin mix"", ""winter sky"", ""masala"", ""vanilla delight"", ""pink pansy"", ""bronze tone"", ""handmade paper"", ""rich brilliant lavender"", ""mountainscape"", ""apricot chiffon"", ""bucktrout brown"", ""ucla gold"", ""pining for you"", ""mystic gold"", ""flower box"", ""springtime peach"", ""peacock tail"", ""brown velvet"", ""aged eucalyptus"", ""shamrock green""]"
"[""shell pink"", ""mossy bench"", ""chilled mint"", ""black fox"", ""amour pink"", ""belize"", ""birdseye maple"", ""crimson"", ""earth chicory"", ""davenport tan"", ""aesthetic white"", ""counting stars"", ""alice white"", ""enigmatic"", ""march aquamarine"", ""milan"", ""pale parsnip"", ""fairmont gold"", ""woodstock tan"", ""ivory invitation""]"
"[""mahogany"", ""la salle green"", ""curry powder"", ""cargo pants"", ""english saddle"", ""steam white"", ""arctic blue"", ""cottage hill"", ""fern green"", ""polished rock"", ""violet pearl"", ""haitian flower"", ""portage"", ""madison avenue"", ""stonington gray"", ""impressionist sky"", ""grasshopper wing"", ""radioactive green"", ""grenada villa"", ""off white""]"
"[""pink begonia"", ""allspice"", ""forrest green"", ""baguette"", ""sparkling emerald"", ""downing slate"", ""mystic fairy"", ""camouflage"", ""upward"", ""cathedral grey"", ""razzberry fizz"", ""blue note"", ""chatsworth cream"", ""vintage pewter"", ""vivid crimson"", ""sharkskin"", ""burnished brandy"", ""tan"", ""royal breeze"", ""french vanilla""]"
"[""peach rose"", ""gin fizz"", ""notre dame"", ""camping tent"", ""shit brown"", ""realm"", ""cornucopia tan"", ""purpleish blue"", ""galleta"", ""neon carrot"", ""pearl"", ""squash blossom"", ""fusion"", ""lost locket"", ""ski patrol"", ""amber glass"", ""baby blue"", ""spiced brandy"", ""reddest red"", ""creamy mushroom""]"
"[""little angel"", ""neptune green"", ""chestertown buff"", ""hot lips"", ""courteous"", ""mirage lake"", ""swamp"", ""deep in thought"", ""plateau"", ""corsican purple"", ""laughing orange"", ""lunar shadow"", ""solid opal"", ""skipper"", ""winding path"", ""aquatic green"", ""light red ochre"", ""birchwood"", ""erin green"", ""no more drama""]"
