colors
"[""roasted pepper"", ""ancestral gold"", ""nude"", ""hound dog"", ""capitol white"", ""gladiola"", ""popcorn"", ""roasted seeds"", ""park bench"", ""natural spring"", ""smoky salmon"", ""santorini blue"", ""splashy"", ""fresh greens"", ""beach trail"", ""willow springs green"", ""pale peach"", ""prairie rose"", ""young at heart"", ""tulip""]"
"[""cheerful hue"", ""twinberry"", ""hosta flower"", ""lighter purple"", ""tealish"", ""royal purple"", ""calcite"", ""costa rica blue"", ""silver lake blue"", ""inviting veranda"", ""bland"", ""apricot lily"", ""stratford blue"", ""english manor"", ""classy plum"", ""light yellow"", ""burnished brown"", ""harwood putty"", ""metallic pink"", ""elevated""]"
"[""water surface"", ""soot"", ""hinoki"", ""parsnip"", ""giants orange"", ""tropical skies"", ""woodland moss"", ""taos taupe"", ""surprise amber"", ""dorian gray"", ""spiced latte"", ""coastal mist"", ""kitten whiskers"", ""rodeo tan"", ""titanium"", ""seaworthy"", ""cedar green"", ""sage green"", ""bistro blue"", ""amber autumn""]"
"[""poetic light"", ""powder room"", ""silverberry"", ""make believe"", ""black bean soup"", ""plastic lime"", ""svelte"", ""shire green"", ""green adirondack"", ""green parakeet"", ""christmas gold"", ""fruit shake"", ""hydrangea flowers"", ""ambience white"", ""cloudless day"", ""gentian"", ""quick silver"", ""copperleaf"", ""grape parfait"", ""wintergreen""]"
"[""reflecting pool"", ""maroon"", ""bastille"", ""rose embroidery"", ""radiance"", ""online"", ""muddy waters"", ""prairie sand"", ""coming up roses"", ""spring break"", ""monarch gold"", ""vanilla frost"", ""oiled teak"", ""cherry cobbler"", ""voile pink"", ""morning breeze"", ""aloha"", ""soft feather"", ""atomic"", ""sonata blue""]"
"[""mojave dusk"", ""cool green"", ""red pink"", ""spun wool"", ""caramelo dulce"", ""red my mind"", ""gray huskie"", ""song of summer"", ""warmed cognac"", ""panache pink"", ""old soul"", ""peppercorn"", ""first peach"", ""sickly green"", ""dark rimu"", ""stormy blue"", ""midtown"", ""tangerine melt"", ""loafer"", ""french lilac""]"
"[""dahlia"", ""merlot"", ""solemn silence"", ""pernod"", ""ambler slate"", ""deluge"", ""mystical mist"", ""first crush"", ""garden sage"", ""valhalla"", ""my valentine"", ""glade green"", ""shooting star"", ""extravagance"", ""misty morn"", ""snow cloud"", ""amethyst phlox"", ""pear cider"", ""huntington green"", ""rust""]"
"[""celery"", ""metallic brown"", ""old fashioned peach"", ""cedar forest"", ""greyhound"", ""byzantine gold"", ""raindrops on roses"", ""shadow ridge"", ""angelic"", ""spoonful of sugar"", ""winning red"", ""my pink"", ""lucky point"", ""molten lead"", ""apple turnover"", ""chilean heath"", ""smoke gray"", ""stamped concrete"", ""kangaroo tan"", ""earls green""]"
"[""mermaid net"", ""wicker basket"", ""parchment"", ""strawberry sorbet"", ""raisin in the sun"", ""antique pewter"", ""super nova"", ""weathervane"", ""chocolate cupcake"", ""gypsy pink"", ""crepe"", ""peach shortcake"", ""primitive green"", ""cement gray"", ""fruity cocktail"", ""mineral deposit"", ""gathering place"", ""light bluish green"", ""tuft bush"", ""future vision""]"
"[""cocoa parfait"", ""terra cotta"", ""blue heather"", ""british khaki"", ""greyish blue"", ""inner peach"", ""wisteria blue"", ""sealskin"", ""messenger bag"", ""scenic path"", ""jicama"", ""ancient ivory"", ""craftsman brown"", ""primary red"", ""lenurple"", ""andiron"", ""fresh cut grass"", ""bayou"", ""mauvelous"", ""gray wool""]"
"[""echo"", ""roti"", ""asphalt"", ""stingray"", ""pennies from heaven"", ""dark linen"", ""baked cumin"", ""ladybug red"", ""juno peach"", ""almond milk"", ""sea isle"", ""vintage merlot"", ""lily"", ""lambskin"", ""browny orange"", ""beauty bush"", ""passion fruit punch"", ""ming jade"", ""amaranth deep purple"", ""limestone""]"
"[""minced ginger"", ""enchant"", ""white down"", ""peach bud"", ""pastel orange"", ""spartan crimson"", ""scrivener gold"", ""palace white"", ""lafayette blue"", ""parador stone"", ""burma jade"", ""lusty red"", ""volcano"", ""corn"", ""curly willow"", ""phantom hue"", ""stanhope yellow"", ""rose sorbet"", ""apricot flower"", ""brown grey""]"
"[""ice cream parlour"", ""tropical hibiscus"", ""grey olive"", ""egg cream"", ""turquish"", ""teal blue"", ""praline"", ""caramel"", ""ecological"", ""pale olive green"", ""loch blue"", ""timber green"", ""thunder"", ""urban sophisticate"", ""aureolin"", ""chocolate candy brown"", ""pepper spice"", ""moon yellow"", ""grizzly bear brown"", ""cruising""]"
"[""rocky ridge"", ""spring leaf"", ""bubble"", ""chelsea gem"", ""ionic column"", ""sudden sapphire"", ""labradorite"", ""quarry rock"", ""hot and spicy"", ""hammered silver"", ""burnt siena"", ""secret blush"", ""feather gray"", ""venom"", ""classic caramel"", ""storm grey"", ""american orange"", ""cosmetic peach"", ""lavender secret"", ""parsley sprig""]"
"[""starry night"", ""summer solstice"", ""prairie dust"", ""bathe blue"", ""sun kissed yellow"", ""elation"", ""sophisticated teal"", ""thick chocolate"", ""rosewater"", ""breathtaking"", ""snowy mint"", ""caicos turquoise"", ""air superiority blue"", ""folk art"", ""lively lilac"", ""mexican silver"", ""breaker bay"", ""pullman green"", ""portabello"", ""solar flare""]"
"[""ultra red"", ""vineyard"", ""choice cream"", ""rave red"", ""tree hugger"", ""black orchid"", ""stunning shade"", ""chocolate"", ""ugly green"", ""desert sunset"", ""grecian green"", ""oceanside"", ""blacktop"", ""miramichi"", ""moon valley"", ""black sapphire"", ""nimbus gray"", ""pampas"", ""gumdrops"", ""vesuvius""]"
"[""nouveau copper"", ""end of the rainbow"", ""cushing green"", ""green garlands"", ""racing orange"", ""coney island"", ""cherokee brick"", ""puke"", ""coconut ice"", ""spanish pink"", ""adams gold"", ""suede gray"", ""aberdeen green"", ""faraway blue"", ""whirlpool"", ""gray owl"", ""oyster bay"", ""rose gold"", ""wild pansy"", ""king salmon""]"
"[""turkish tile"", ""brush blue"", ""pine tree"", ""foothills"", ""spring song"", ""wythe blue"", ""lotus petal"", ""northern air"", ""timber wolf"", ""light mist"", ""simply sage"", ""real cork"", ""downing stone"", ""igloo blue"", ""sea urchin"", ""clay ground"", ""collonade gray"", ""light copper"", ""neon scarlet"", ""sensuous gray""]"
"[""emotional"", ""copper harbor"", ""brilliant sea"", ""soothing pink"", ""cranberry ice"", ""falu red"", ""melodic white"", ""hushed hue"", ""fresh water"", ""jeweled peach"", ""watertown"", ""gray pinstripe"", ""apollo blue"", ""orange sorbet"", ""tree bark"", ""light quartz"", ""linen"", ""medium turquoise"", ""fond memory"", ""silver crest""]"
"[""nickel"", ""light yellowish green"", ""ming"", ""ivory white"", ""creamery"", ""kingfisher daisy"", ""teal motif"", ""carousel pink"", ""radicchio"", ""eve green"", ""clamshell"", ""cobalt glaze"", ""dark sea green"", ""green grove"", ""armagnac"", ""embers"", ""orchid"", ""morning sunshine"", ""english vermillion"", ""wasabi""]"
"[""ugly yellow"", ""light bright green"", ""sandy"", ""bali hai"", ""pewter cast"", ""chinese purple"", ""treasure trove"", ""ecstasy"", ""bergamot orange"", ""urbane bronze"", ""tanglewood"", ""turning leaf"", ""windmill"", ""castle moat"", ""fuschia flair"", ""marfil"", ""dried plantain"", ""pale orchid"", ""emerald vapor"", ""hazy trail""]"
"[""earth tone"", ""abingdon putty"", ""wedgewood"", ""soya bean"", ""clay dust"", ""abysse"", ""oyster pink"", ""spanish bistre"", ""tucson tan"", ""sommelier"", ""mysterious night"", ""sweet mustard"", ""amelia island blue"", ""refreshing teal"", ""raisin"", ""cable knit sweater"", ""bubble bath"", ""raspberry glace"", ""diamonds therapy"", ""ivy league""]"
"[""dark truffle"", ""picnic"", ""san mateo beaches"", ""baby purple"", ""pale oyster"", ""peruvian chili"", ""allports"", ""dandelion"", ""raven"", ""exotic blossom"", ""nosegay"", ""providence blue"", ""corona"", ""spearmints"", ""hearthstone"", ""exuberant pink"", ""mega greige"", ""foot hills"", ""dutch tile blue"", ""tuatara""]"
"[""courtyard blue"", ""springday"", ""woody brown"", ""dusty pink"", ""shadow taupe"", ""quietly violet"", ""tory blue"", ""not a cloud in sight"", ""sheer romance"", ""paddington blue"", ""decatur white"", ""quartz stone"", ""daisy bush"", ""antiquarian brown"", ""river mud"", ""dark mustard"", ""white iris"", ""cabbage patch"", ""great graphite"", ""cyan cobalt blue""]"
"[""legacy"", ""ube"", ""chalet"", ""predictable"", ""blooming wisteria"", ""roaring twenties"", ""homburg gray"", ""baritone"", ""fresco urbain"", ""maison blanche"", ""honied white"", ""caput mortuum"", ""cosmic cobalt"", ""venezuelan sea"", ""burnt red"", ""diminutive pink"", ""cerise"", ""honeycomb"", ""white mint"", ""weathered sandstone""]"
"[""sweet pastel"", ""dirty blue"", ""derby"", ""berber white"", ""rustic taupe"", ""lenox tan"", ""peach kiss"", ""acorn"", ""unwind"", ""perfect taupe"", ""very dark blue"", ""mexican chile"", ""green energy"", ""sepia"", ""great barrington green"", ""still moment"", ""in the garden"", ""estate sale"", ""little sun dress"", ""equestrian green""]"
"[""stardust"", ""blue wave"", ""gold plated"", ""black ribbon"", ""anzac"", ""mountain blueberry"", ""ottoman"", ""mediterranean spice"", ""copper rose"", ""french macaroon"", ""tamarind"", ""flor lila"", ""pineapple grove"", ""plumville"", ""metallic copper"", ""mermaid treasure"", ""bit of sugar"", ""cherubic"", ""flurry"", ""tonys pink""]"
"[""beige"", ""ivory mist"", ""purple lace"", ""arctic gray"", ""wing flutter"", ""lazy gray"", ""light moss green"", ""thundercloud gray"", ""willard white"", ""glowing umber"", ""golden divan"", ""black horizon"", ""turquoise mist"", ""indulgent mocha"", ""rockwall vine"", ""fields of gold"", ""purple grey"", ""fairest pink"", ""tomato"", ""koi""]"
"[""rushing river"", ""carlisle cream"", ""gossip"", ""wenge"", ""universal khaki"", ""inspired"", ""plum"", ""brandywine"", ""night watch"", ""bayleaf"", ""desert sunrise"", ""copper wire"", ""strong winds"", ""renwick beige"", ""sun porch"", ""blue daisy"", ""morning sky blue"", ""veranda iris"", ""burning sand"", ""pink paradise""]"
"[""rust orange"", ""terrazzo brown"", ""kiss and tell"", ""tigereye"", ""oat field"", ""maple glaze"", ""australian mint"", ""siren"", ""aloe thorn"", ""violet mist"", ""lost atlantis"", ""center stage"", ""powdered allspice"", ""sweet tart"", ""jumel peachtone"", ""mirage"", ""dreaming blue"", ""coral buff"", ""saltbox blue"", ""citadel""]"
"[""burnished mahogany"", ""tropical blooms"", ""coral candy"", ""white moderne"", ""ethiopia"", ""damsel"", ""smokehouse"", ""trailing vines"", ""dolphin fin"", ""grassland"", ""charismatic sky"", ""surfer"", ""blazing bonfire"", ""spanish sand"", ""canyon iris"", ""frisky blue"", ""sierra sand"", ""early spring"", ""bed of roses"", ""glitterati""]"
"[""billowy clouds"", ""chocolate heart"", ""light mauve"", ""amazon river"", ""trolley grey"", ""great plains gold"", ""fluro green"", ""pristine"", ""verdant"", ""september morning"", ""gilded glamour"", ""arid landscape"", ""pelham gray"", ""stone harbor"", ""manchester"", ""valley vineyards"", ""viridian"", ""mint frappe"", ""optimum blue"", ""yellow haze""]"
"[""secret rendezvous"", ""castle walls"", ""winter way"", ""greenstone"", ""golden tainoi"", ""bright sky blue"", ""forbidden red"", ""ivory lace"", ""violet evening"", ""silk"", ""chic peach"", ""dressy rose"", ""harvard crimson"", ""cool reflection"", ""cameron green"", ""windgate hill"", ""caribbean current"", ""victoriana"", ""mystic river"", ""snow flurry""]"
"[""wishing troll"", ""pale iris"", ""pastel purple"", ""wooden swing"", ""paper heart"", ""kendal green"", ""oak ridge"", ""bronze yellow"", ""del rio"", ""wanderer"", ""safari"", ""golden sage"", ""covered bridge"", ""tiramisu cream"", ""persian melon"", ""rice drink"", ""translucent silk"", ""currant jam"", ""honeysuckle white"", ""electric yellow""]"
"[""organdy"", ""radiant silver"", ""golden cricket"", ""golden pastel"", ""flint gray"", ""zero degrees"", ""majestic yellow"", ""red pines"", ""dynasty celadon"", ""flurries"", ""strong iris"", ""basic blue"", ""parfait"", ""paparazzi"", ""hammered gold"", ""ballet white"", ""effervescent"", ""purpleish"", ""persian pink"", ""storm cloud""]"
"[""coral mantle"", ""como"", ""frostini"", ""fall harvest"", ""pickled aspen"", ""gull grey"", ""antique coral"", ""sky"", ""pineapple crush"", ""morning walk"", ""charlotte"", ""back to nature"", ""damask yellow"", ""sunset strip"", ""fringy flower"", ""mayfair white"", ""melted marshmallow"", ""tuscan tile"", ""silk sheets"", ""bona fide beige""]"
"[""wrought iron"", ""celestial glow"", ""eagle"", ""anonymous"", ""seasoned salt"", ""gable green"", ""dark violet"", ""ultramarine"", ""scarpa flow"", ""hailstorm gray"", ""barbie pink"", ""livingston gold"", ""historic cream"", ""baked brie"", ""westchester gray"", ""white river"", ""avid apricot"", ""spotswood teal"", ""bavarian cream"", ""arizona canyon""]"
"[""prairie house"", ""formal maroon"", ""fresh fruit"", ""sundance"", ""tucson coral"", ""razzle dazzle"", ""full glass"", ""medium pink"", ""azalea"", ""poo"", ""aqua green"", ""feldspar"", ""fern frond"", ""angels gate"", ""laurel oak"", ""colorado gray"", ""precious stone"", ""red damask"", ""windy city"", ""panda""]"
"[""true pink"", ""rangitoto"", ""starbright"", ""riverway"", ""modern gray"", ""canterbury bells"", ""wickerware"", ""golden age"", ""darkest grape"", ""still gray"", ""roycroft pewter"", ""antique lace"", ""honey flower"", ""moonlit yellow"", ""china doll"", ""hint of green"", ""zest"", ""arcade white"", ""pink harmony"", ""celadon""]"
"[""oxford gold"", ""galaxy"", ""pale oats"", ""blushing"", ""demure"", ""quiet veranda"", ""pool blue"", ""tropical waters"", ""malvavisco"", ""bolero"", ""mint parfait"", ""caramel sauce"", ""crewel tan"", ""deep blue sea"", ""lemon curd"", ""horchata"", ""badlands"", ""iced green"", ""frontier shadow"", ""pearly white""]"
"[""in the spotlight"", ""flan"", ""soft breeze"", ""golden leaf"", ""bennington gray"", ""blue blood"", ""hot magenta"", ""cinereous"", ""almond kiss"", ""dynamic blue"", ""red barn"", ""ashberry"", ""nostalgic"", ""veranda view"", ""larkspur blue"", ""connected gray"", ""catalina coast"", ""casa blanca"", ""violet aura"", ""french horn""]"
"[""lychee"", ""moonlit beach"", ""silver cloud"", ""new lime"", ""embassy green"", ""porch swing"", ""cannon black"", ""melrose"", ""bonsai trunk"", ""underground gardens"", ""frog"", ""interactive cream"", ""inheritance"", ""key lime"", ""glow"", ""auric"", ""camelot"", ""mystical powers"", ""apricotta"", ""ivy wreath""]"
"[""ink black"", ""clinker"", ""dark burgundy wine"", ""morning zen"", ""contemplation"", ""stone walls"", ""blizzard"", ""chinese pink"", ""rosy outlook"", ""faded violet"", ""rosy lavender"", ""atlantis pearl"", ""art district"", ""riverdale green"", ""charleston green"", ""sensational sand"", ""rosamilia green"", ""summer house"", ""spring walk"", ""yellow groove""]"
"[""beguiling mauve"", ""georgian bay"", ""adventurer"", ""wax flower"", ""bff"", ""brandy rose"", ""fully purple"", ""cress green"", ""randolph gray"", ""brick"", ""carpe diem"", ""christmas green"", ""bronzed beige"", ""habanero chile"", ""autumn bronze"", ""christmas orange"", ""oakwood brown"", ""santa barbara green"", ""fine white"", ""mamey fruit""]"
"[""nelson blue"", ""macadamia nut"", ""pine barrens"", ""pistachio shortbread"", ""mocha"", ""saffron thread"", ""tangy green"", ""osprey"", ""tan green"", ""napa wine"", ""blanched coral"", ""taupe tease"", ""farmyard"", ""peanut shell"", ""fresh olive"", ""spanish orange"", ""iced lavender"", ""dufferin terrace"", ""blue stream"", ""wild rice""]"
"[""goldtone"", ""shrimp toast"", ""french pass"", ""vast desert"", ""violet red"", ""blackberry punch"", ""remy"", ""organza"", ""greenfield"", ""florida keys"", ""kitty gray"", ""almost black"", ""downing earth"", ""tulip tree"", ""japanese violet"", ""laser lemon"", ""dark brown"", ""forest"", ""royal intrigue"", ""lilting laughter""]"
"[""techno gray"", ""golden chalice"", ""android green"", ""lucky green"", ""purpureus"", ""canyon sunset"", ""french roast"", ""manor blue"", ""kyoto pearl"", ""capri cream"", ""granite dust"", ""fennel seed"", ""zephyr"", ""boston blue"", ""light periwinkle"", ""gold tips"", ""shaved chocolate"", ""opera"", ""vesper violet"", ""ecru white""]"
"[""sandy ridge"", ""knighthood"", ""citrus peel"", ""mellow apricot"", ""melon cup"", ""spice bazaar"", ""greenish brown"", ""light blue grey"", ""rain shadow"", ""dark"", ""koral kicks"", ""seasoned acorn"", ""partly cloudy"", ""mysterious"", ""safari chic"", ""garden fairy"", ""tutti frutti"", ""patina"", ""fuchsia rose"", ""wooden cabin""]"
"[""fire cracker"", ""hybrid"", ""baby pink"", ""comical coral"", ""butternut wood"", ""goodwin green"", ""creek bend"", ""spring moss"", ""birmingham cream"", ""jackson tan"", ""illuminated"", ""tasman"", ""yellow rose"", ""amaretto"", ""clear view"", ""philippine silver"", ""rhine river"", ""zorba"", ""silhouette"", ""cauliflower""]"
